shipment_id,tracking_number,shipment_date,sender_name,sender_country,recipient_name,recipient_country,total_value,currency,total_weight,shipment_method,carrier,status,compliance_notes
67cbe38544314efee589cb0c,S7X9O6X3L6B,2025-03-08,Robinson-Mccullough,United States,Long Ltd,United Arab Emirates,11149.87,USD,81.78,Air,DHL,Flagged,Shipment value exceeds threshold for United Arab Emirates. Additional documentation required.
67cbe38644314efee589cb18,P4D6E3Q4F1I,2025-03-08,Jackson-Jennings,Germany,Humphrey-Wright,Canada,4467.08,EUR,16.7,Air,DHL,Flagged,Shipment value exceeds threshold for Canada. Additional documentation required.
67cbe38644314efee589cb20,W8N9L6O9Y5O,2025-03-08,King-Khan,Germany,Roberson-Liu,Brazil,6075.71,EUR,81.48,Air,DHL,Flagged,Shipment value exceeds threshold for Brazil. Additional documentation required.
67cbe38644314efee589cb30,N9G4D4W7E2D,2025-03-08,King-Khan,Germany,Price PLC,China,4800.41,EUR,82.48,Air,UPS,Compliant,
67cbe38744314efee589cb44,Q9V2K3U3R7O,2025-03-08,Robinson-Mccullough,United States,Chaney Ltd,United Arab Emirates,4048.28,USD,28.68,Air,DHL,Flagged,Shipment value exceeds threshold for United Arab Emirates. Additional documentation required.
67cbe38744314efee589cb50,T4Z5K1X6U9K,2025-03-08,King-Khan,Germany,"Smith, Foster and Nichols",China,5762.23,EUR,74.87,Air,UPS,Rejected,
67cbe38844314efee589cb5e,R5V2Q6I8N1Y,2025-03-08,Brown-Collins,Germany,Booker-Perez,France,2537.23,EUR,29.02,Land,China Post,Flagged,Shipment value exceeds threshold for France. Additional documentation required.
67cbe38844314efee589cb66,E4Y6O3N1C4F,2025-03-08,Brown-Collins,Germany,Peck-Young,France,219.64,EUR,10.21,Air,UPS,Pending,
67cbe38844314efee589cb6c,X0Q3G7F5B9F,2025-03-08,Jackson-Jennings,Germany,Stevenson-Rivera,United Arab Emirates,4738.69,EUR,22.58,Air,FedEx,Rejected,"Contains prohibited item: Wine of fresh grapes, in containers holding 2 liters or less (HS: 2204.21)"
67cbe38944314efee589cb76,A3A0J2Y3I5O,2025-03-08,Brown-Collins,Germany,Cummings-James,China,6403.49,EUR,40.06,Air,FedEx,Flagged,Contains restricted item requiring special clearance: Medical instruments and appliances (HS: 9018.90)
67cbe38944314efee589cb84,L3T7B6I3Y9G,2025-03-08,Jackson-Jennings,Germany,"Manning, Baker and Henry",China,6851.17,EUR,52.15,Air,FedEx,Flagged,Shipment value exceeds threshold for China. Additional documentation required.
67cbe38944314efee589cb94,D2T1V5K7F2P,2025-03-08,Robinson-Mccullough,United States,"Riley, Baker and Brown",France,302.47,USD,11.77,Air,FedEx,Flagged,Contains restricted item requiring special clearance: Whiskies (HS: 2208.30)
67cbe38a44314efee589cb9c,F0Q5E0W2T9X,2025-03-08,Brown-Collins,Germany,"Contreras, Chapman and Warner",United Arab Emirates,6300.11,EUR,18.67,Air,UPS,Flagged,
67cbe38a44314efee589cba8,L0Q9B4L3A0A,2025-03-08,King-Khan,Germany,"Howell, Frank and Steele",Australia,3216.65,EUR,9.96,Air,DHL,Flagged,Shipment value exceeds threshold for Australia. Additional documentation required.
67cbe38a44314efee589cbb2,C5S7R4H7B8L,2025-03-08,King-Khan,Germany,Rivera-Fry,Canada,3981.09,EUR,3.72,Air,DHL,Flagged,
67cbe38b44314efee589cbba,F9O7R7V0S6X,2025-03-08,Brown-Collins,Germany,Mendoza-Jones,United Kingdom,7291.75,EUR,25.93,Air,DHL,Flagged,Shipment value exceeds threshold for United Kingdom. Additional documentation required.
67cbe38b44314efee589cbc8,H3G4N6O3K9Q,2025-03-08,Brown-Collins,Germany,Roberts-Sanchez,France,4710.25,EUR,35.53,Air,DHL,Flagged,Contains restricted item requiring special clearance: Whiskies (HS: 2208.30)
67cbe38b44314efee589cbd4,M7T6R9M7E7R,2025-03-08,Jackson-Jennings,Germany,"Warren, Campbell and Powell",United States,2583.93,EUR,8.92,Air,UPS,Flagged,Shipment value exceeds threshold for United States. Additional documentation required.
67cbe38c44314efee589cbdc,Z9N6F0Z6J8B,2025-03-08,Brown-Collins,Germany,"Robinson, Crane and Russell",Canada,1086.03,EUR,7.72,Air,FedEx,Pending,
67cbe38c44314efee589cbe4,E5H6Y6Q2V0G,2025-03-08,Brown-Collins,Germany,Henderson-Harding,United States,668.46,EUR,37.53,Air,DHL,Pending,
67cbe38c44314efee589cbec,F2M3H5Z7P3R,2025-03-08,King-Khan,Germany,Scott Inc,United Kingdom,1599.2,EUR,21.13,Air,UPS,Flagged,
